dataset,K,PLINK_n,PLINK_J
Autoinflammatory,7,13,0.1111111111111111
Hypoleft,4,225,0.00881057268722467
Ocalbinism,1,97,0.010309278350515464
Cystinuria,2,367,0.0
Glaucoma,5,5,1.0
Deafness,3,445,0.006741573033707865
