dataset,n_novel,n_combos,k_eval,RF_snp_jac,RF_combo_jac,PLINK2_snp_jac,PLINK2_combo_jac,Feyn_snp_jac,Feyn_combo_jac
SCA17 baseline,29,29,29,0.9333333333333333,0.9655172413793104,0.9333333333333333,0.9655172413793104,0.9333333333333333,0.9655172413793104
SCA17 fpbal,29,29,29,1.0,1.0,0.9333333333333333,0.9655172413793104,0.9333333333333333,0.9655172413793104
FHL baseline,6,6,6,0.2,0.3333333333333333,0.3333333333333333,0.5,0.2,0.3333333333333333
FHL fpbal,6,6,6,0.7142857142857143,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.5,0.5
Alport baseline,37,23,37,0.7619047619047619,0.8695652173913043,0.6818181818181818,0.782608695652174,0.6818181818181818,0.782608695652174
Alport fpbal,37,23,37,0.9473684210526315,0.9130434782608695,0.8974358974358975,0.9130434782608695,0.8974358974358975,0.9130434782608695
